Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,1412.400024,1417.420044,1408.619995,1414.170044,1414.170044,29317800
2017-08-08,1413.930054,1426.290039,1407.569946,1410.150024,1410.150024,33446400
2017-08-09,1409.780029,1409.780029,1393.239990,1396.949951,1396.949951,33080600
2017-08-10,1396.599976,1396.599976,1372.540039,1372.540039,1372.540039,36210700
2017-08-11,1372.260010,1376.369995,1368.329956,1374.229980,1374.229980,31599300
2017-08-14,1375.130005,1394.530029,1375.130005,1394.310059,1394.310059,28225500
2017-08-15,1394.699951,1395.880005,1382.949951,1383.239990,1383.239990,29131000
2017-08-16,1384.180054,1391.680054,1381.900024,1383.530029,1383.530029,29536500
2017-08-17,1383.069946,1384.739990,1358.800049,1358.939941,1358.939941,31426200
2017-08-18,1357.010010,1362.339966,1349.349976,1357.790039,1357.790039,34156800
2017-08-21,1357.739990,1358.089966,1351.199951,1356.900024,1356.900024,27881500
2017-08-22,1357.890015,1372.329956,1357.890015,1371.540039,1371.540039,27774900
2017-08-23,1370.680054,1373.280029,1363.170044,1369.739990,1369.739990,27852900
2017-08-24,1370.160034,1377.050049,1370.160034,1373.880005,1373.880005,28465900
2017-08-25,1374.380005,1380.599976,1373.530029,1377.449951,1377.449951,25887800
2017-08-28,1377.760010,1382.530029,1377.060059,1382.229980,1382.229980,26777000
2017-08-29,1381.310059,1385.189941,1371.800049,1383.680054,1383.680054,27375800
2017-08-30,1383.209961,1392.770020,1381.199951,1391.319946,1391.319946,26336600
2017-08-31,1392.040039,1406.439941,1392.040039,1405.280029,1405.280029,33481100
2017-09-01,1405.819946,1413.869995,1405.819946,1413.569946,1413.569946,27107300
2017-09-05,1413.300049,1414.550049,1394.510010,1399.660034,1399.660034,34902600
2017-09-06,1400.010010,1406.020020,1399.270020,1402.199951,1402.199951,33744100
2017-09-07,1402.459961,1404.310059,1393.880005,1398.670044,1398.670044,33539300
2017-09-08,1398.189941,1403.530029,1394.430054,1399.430054,1399.430054,33024900
2017-09-11,1400.560059,1415.750000,1400.560059,1414.829956,1414.829956,32917600
2017-09-12,1415.339966,1423.930054,1415.180054,1423.459961,1423.459961,32309200
2017-09-13,1423.300049,1428.739990,1421.880005,1426.890015,1426.890015,33680500
2017-09-14,1426.569946,1427.920044,1421.630005,1425.020020,1425.020020,34144600
2017-09-15,1425.349976,1431.989990,1422.250000,1431.709961,1431.709961,48531700
2017-09-18,1431.750000,1444.270020,1431.750000,1441.079956,1441.079956,31943000
2017-09-19,1441.189941,1442.579956,1438.290039,1440.400024,1440.400024,32491000
2017-09-20,1440.479980,1446.479980,1440.000000,1445.420044,1445.420044,35300100
2017-09-21,1445.199951,1448.839966,1441.689941,1444.180054,1444.180054,29308600
2017-09-22,1443.469971,1451.510010,1441.859985,1450.780029,1450.780029,28659600
2017-09-25,1450.630005,1455.219971,1445.020020,1451.959961,1451.959961,32978900
2017-09-26,1452.250000,1460.949951,1452.250000,1456.859985,1456.859985,30431100
2017-09-27,1457.270020,1487.949951,1457.270020,1484.810059,1484.810059,34560300
2017-09-28,1484.800049,1489.349976,1478.199951,1488.790039,1488.790039,31686200
2017-09-29,1488.800049,1493.560059,1488.800049,1490.859985,1490.859985,32119200
2017-10-02,1491.050049,1509.479980,1491.050049,1509.469971,1509.469971,31997300
